Date,State,Latitude,Longitude,CLOUD_AMT,AOD_55,PW,QV2M,T2M,RH2M,WS50M,PS,TOA_SW_DWN,ALLSKY_SFC_SW_DWN
01-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,47.43,0.2,5.29,18.15,27.87,77.74,9.18,101.09,8.4209,4.5797
02-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,34.39,0.23,5,18.01,27.59,78.5,7.11,101.22,8.43,5.0522
03-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,26.37,0.27,3.92,16.08,27.48,70.64,5.16,101.24,8.4408,5.3515
04-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,28.68,0.3,3.07,15.72,26.89,71.45,3.84,101.12,8.4538,5.3926
05-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,14.47,0.21,3.02,14.94,27.03,67.34,2.81,101.07,8.4684,5.6532
06-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,28.47,0.16,3.35,17.15,27.3,75.95,4.82,101.03,8.4845,5.555
07-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,27.35,0.17,3.96,17.13,27.15,76.59,5.3,101.04,8.5006,5.0839
08-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,41.78,0.21,3.97,15.86,27.16,71.02,4.52,101.16,8.5162,5.6006
09-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,91.7,0.31,4.6,16.31,26.95,73.9,4.88,101.22,8.5318,3.139
10-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,67.87,0.33,3.97,15.38,26.9,69.92,7.01,101.18,8.5486,4.3608
11-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,73.1,0.43,3.34,15.42,26.57,71.42,6.24,101.15,8.5651,4.781
12-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,73.46,0.27,3.89,16.79,26.71,77.08,5.97,101.1,8.5829,4.8089
13-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,74.79,0.23,4.52,18.59,27.47,81.41,7.38,101.02,8.603,4.3615
14-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,70.57,0.26,5.3,18.15,27.76,78.23,8.83,101.11,8.6232,3.7318
15-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.56,0.38,5.52,17.85,27.68,77.37,7.92,101.19,8.6438,0.6127
16-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,95.72,0.28,5.5,18.12,27.47,79.46,5,101.15,8.664,2.6827
17-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.05,0.23,5.06,16.85,27.56,73.71,4.32,101.21,8.6851,2.6201
18-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,46.99,0.32,3.76,15.65,27.5,68.69,4.1,101.25,8.7055,5.5073
19-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,24.48,0.36,3.04,15.81,27.48,69.5,5.58,101.28,8.7262,5.6191
20-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,44.34,0.38,2.97,15.85,27.35,70.3,5.47,101.41,8.749,4.9961
21-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,39.72,0.34,2.89,15.64,27.51,68.85,6.07,101.56,8.773,5.6239
22-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,29.02,0.23,2.66,14.91,27.41,66.05,5.58,101.52,8.797,5.8226
23-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,36.63,0.22,2.46,13.52,27.09,61.03,4.73,101.34,8.8212,5.9609
24-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,23.77,0.21,2.21,13.86,26.81,63.45,5.31,101.33,8.8459,5.9371
25-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,47.87,0.13,2.43,13.7,26.86,62.61,5.12,101.38,8.8704,5.6758
26-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,26.21,0.17,2.63,14.65,26.82,66.96,4.27,101.31,8.8949,6.1565
27-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,10.76,0.19,2.33,14.7,26.88,66.97,4.08,101.19,8.9196,6.2537
28-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,30.96,0.17,2.59,14.58,26.53,67.67,4.19,101.1,8.947,5.9239
29-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,22.6,0.2,3.48,16.18,27.36,71.51,4.29,101.15,8.9755,5.7017
30-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,27.95,0.25,3.78,16.26,27.62,70.81,4.06,101.24,9.0043,5.7722
31-01-2015,Andaman and Nicobar Islands,11.6234,92.7265,21.06,0.2,4.06,16.57,27.2,74.04,5.38,101.25,9.0336,5.9618
01-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,34.64,0.44,3.95,17.6,26.91,79.85,6.35,101.23,9.0624,5.2978
02-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,79.05,0.74,4.4,17.71,27.19,79.19,7.72,101.35,9.0912,3.9014
03-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,47.62,0.57,3.64,16.76,27.66,73.04,8.48,101.46,9.1198,5.3736
04-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,20.63,0.44,3.1,16.46,27.74,71.43,6.48,101.4,9.1483,5.6844
05-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,3.33,0.36,3.21,16.27,27.63,71.04,6.05,101.28,9.1776,5.3549
06-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,30.03,0.32,3.67,16.62,27.64,72.36,5.54,101.24,9.2069,5.5385
07-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,21.09,0.38,3.61,16.59,27.46,72.95,6.3,101.22,9.2352,5.9009
08-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,34.62,0.42,3.07,15.58,27.62,67.98,6.37,101.21,9.263,5.8584
09-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,52.39,0.46,3.11,16.44,27.5,72.1,7.14,101.28,9.2921,5.7043
10-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,74.63,0.53,3.16,16.32,27.34,72.33,5.68,101.28,9.3211,5.5075
11-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,81.8,0.6,3.78,15.63,27.46,68.89,4.18,101.23,9.3499,4.4736
12-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,92.8,0.5,4.47,16.02,27.54,70.11,4.33,101.17,9.3782,3.1951
13-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,42.63,0.35,4.1,15.13,27.51,66.44,5.18,101.14,9.4063,5.9047
14-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,33.33,0.25,1.99,14.05,27.19,63.02,6.49,101.13,9.4344,6.269
15-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,5.53,0.46,1.97,13.4,26.84,61.14,5.24,101.13,9.4622,6.5918
16-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,7.53,0.27,2.18,14.28,26.59,66.24,5.99,101.18,9.491,6.714
17-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,49.03,0.2,2.59,14.52,27.03,65.56,5.07,101.08,9.5194,6.4279
18-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,88.76,0.23,3.33,14.57,27.3,64.86,4.64,101.12,9.5486,5.6417
19-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,80.43,0.22,4.45,15.56,27.56,68.02,4.29,101.15,9.5772,4.4395
20-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,19.08,0.17,4.41,16.84,27.71,72.97,6.01,101.13,9.6055,6.0269
21-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,30.55,0.19,4.12,16.91,27.78,72.9,5.54,101.06,9.6331,6.0566
22-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,48.75,0.2,3.88,16.84,27.79,72.68,3.76,101.19,9.6605,5.382
23-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,13.5,0.2,3.61,16.38,27.88,70.32,3.28,101.22,9.6881,6.4903
24-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,13.84,0.16,3.28,15.53,27.83,66.89,3.61,101.15,9.7164,6.7135
25-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,4.92,0.16,2.92,14.5,27.9,62.18,3.57,101.04,9.7445,6.7582
26-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,4.71,0.15,2.82,15.06,27.65,65.48,3.38,100.99,9.7721,6.829
27-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,5.88,0.12,2.63,15.35,27.89,65.96,4.39,101.02,9.7985,7.0018
28-02-2015,Andaman and Nicobar Islands,11.6234,92.7265,16.83,0.17,2.96,15.58,27.83,67.16,5.26,101.06,9.8251,6.7018
01-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,20.57,0.22,4.01,16.05,28.32,67.3,3.27,101.06,9.8513,6.5837
02-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,7.89,0.26,3.57,17.5,28.54,72.17,2.76,101.1,9.877,6.5381
03-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,7.67,0.34,3.55,17.1,28.49,70.7,1.96,101.03,9.9031,6.6854
04-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,44.95,0.36,3.96,17.63,27.88,75.51,2.94,101.08,9.929,5.5819
05-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,6.34,0.24,3.58,17.51,28.23,73.58,4.97,101.14,9.9538,6.2544
06-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,9.87,0.18,2.97,17.23,28.21,72.53,5.91,101.12,9.9778,7.0606
07-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,34.5,0.21,2.74,16.17,28.15,68.49,6.37,101.11,10.0008,7.0171
08-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,72.97,0.35,3,15.09,28.11,64.06,4.96,101.17,10.0231,6.5364
09-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,79.67,0.46,3.61,15.8,28.14,66.93,3.78,101.24,10.0447,6.1838
10-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,55.98,0.37,3.72,16.69,28.56,68.91,2.49,101.2,10.0649,6.3521
11-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,16.31,0.31,3.64,17.33,29.03,69.62,4.4,101.22,10.0848,6.72
12-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,5.07,0.21,2.77,16.43,29.16,65.76,3.59,101.23,10.1047,7.045
13-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,3.75,0.28,2.95,15.99,29,64.61,2.41,101.23,10.1261,6.7877
14-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,5.69,0.4,3.34,16.7,28.99,67.46,1.53,101.35,10.1462,6.415
15-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,8.4,0.29,2.93,16.42,28.88,66.66,2.8,101.34,10.1662,6.5165
16-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,12.29,0.32,2.18,15.4,28.51,63.88,3.5,101.25,10.1866,6.942
17-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,8.51,0.59,2.49,17.42,28.43,72.43,3.14,101.07,10.2062,6.39
18-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,17.21,0.44,2.84,16.95,28.34,70.78,2.6,100.98,10.225,6.6823
19-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,14.93,0.41,2.9,16.48,28.56,67.82,3.14,101.04,10.2427,6.6137
20-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,18.5,0.59,2.79,17.53,28.86,70.94,4.71,101.06,10.2602,6.4656
21-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,52.22,0.66,2.8,16.66,28.73,68.05,5.04,101.12,10.277,6.1382
22-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,46.46,0.59,2.66,15.57,28.04,66.15,3.55,101.09,10.2938,6.127
23-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,15.49,0.4,2.92,15.19,27.9,65.12,1.59,101,10.3104,6.6948
24-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,23.57,0.58,3.66,16.3,28.48,67.46,2.47,101.04,10.326,6.4068
25-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,44.34,0.71,4.41,18.07,29.01,72.56,4.68,101.11,10.3406,6.0142
26-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,38.99,0.5,4.58,18.96,29.15,75.53,6.41,101.2,10.3555,6.4337
27-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,25.68,0.45,4.33,18.82,29.16,74.87,6.64,101.18,10.3697,6.2786
28-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,19.47,0.37,4.25,18.87,29.21,74.91,5.19,101.06,10.3831,6.5844
29-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,19.68,0.37,3.96,18.54,29.11,74.06,4.83,101,10.3958,6.7128
30-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,11.59,0.32,3.96,18.23,29.57,70.98,3.63,100.96,10.4093,6.9154
31-03-2015,Andaman and Nicobar Islands,11.6234,92.7265,17.66,0.23,4.01,17.94,29.49,70.24,3.91,101.02,10.4222,7.0142
01-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,50.08,0.19,4.16,17.74,29.25,70.19,2.69,101.01,10.4342,6.797
02-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,39.63,0.2,4.15,16.94,29.2,67.1,2.7,100.9,10.4453,6.9103
03-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,18.4,0.16,3.39,16.99,28.75,68.99,2.72,100.78,10.4551,7.2984
04-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,5.76,0.33,2.65,15.52,28.75,63.16,1.18,100.7,10.4645,7.3637
05-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,10.83,0.37,2.9,15.79,29.26,62.43,1.17,100.79,10.4722,7.2454
06-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,19.44,0.24,3.33,16.71,29.68,64.52,1.93,100.82,10.4791,7.2883
07-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,8.81,0.2,3.4,18.51,29.76,71.05,4.42,100.82,10.4861,7.3366
08-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,43.43,0.33,3.49,18.44,29.78,70.65,3.2,100.87,10.493,6.9682
09-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,48.34,0.44,4.22,18.48,29.88,70.55,2.88,100.93,10.5,6.4162
10-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,60.29,0.43,4.02,17.36,30.31,64.66,1.89,100.97,10.5065,6.3862
11-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,68.96,0.35,3.65,16.36,30.14,61.74,1.08,101.07,10.5127,6.6576
12-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,87.48,0.4,4.51,17.56,29.76,67.6,2.39,101.2,10.5178,4.9354
13-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.03,0.49,5.17,18.19,29.45,71.18,3.56,101.16,10.5223,2.4578
14-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.89,0.58,5.42,18.11,28.76,73.7,3.4,101.07,10.5259,3.3749
15-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,95.62,0.48,5.44,18.42,28.29,76.93,3.2,101.09,10.5286,3.5203
16-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,81.9,0.4,5.45,18.49,28.72,75.31,2.95,101.15,10.5312,5.7948
17-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,79.55,0.35,5.04,18.54,28.96,74.45,1.99,100.96,10.5343,6.312
18-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,66.01,0.3,4.7,19.3,28.99,77.23,3.65,100.88,10.5382,5.9314
19-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,42.21,0.22,5.01,18.67,29.26,73.65,2.49,100.94,10.5413,6.8868
20-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,52.49,0.19,4.71,18.14,29.73,69.78,1.19,101,10.5454,6.9965
21-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,49.17,0.13,4.66,19.39,29.6,74.98,3.33,100.97,10.5485,6.5563
22-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,26.99,0.1,4.25,19.13,29.48,74.51,3.48,100.96,10.5506,7.2638
23-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,71,0.17,4.17,18.57,29.59,72.03,2.36,101.05,10.5521,6.9115
24-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,60.22,0.24,4.55,18.25,29.36,71.69,1.68,101.06,10.5518,6.5014
25-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,45.53,0.23,4.8,18.55,29.34,72.87,2.47,101,10.5516,6.679
26-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,35.79,0.22,4.97,15.55,29.55,60.74,1.54,101.08,10.5514,6.7603
27-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,59.1,0.19,5.08,18.62,29.47,72.66,1.89,101.04,10.5511,6.769
28-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,52.13,0.2,5.02,18.6,29.71,71.52,2.06,101,10.5506,5.7478
29-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,55.31,0.18,5.1,18.17,29.64,70.13,1.43,100.97,10.5492,6.1018
30-04-2015,Andaman and Nicobar Islands,11.6234,92.7265,76.8,0.22,5.26,18.68,29.25,73.75,1.86,101.03,10.5475,6.2573
01-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,87.75,0.28,5.39,18.59,28.92,74.81,2.32,101,10.5454,2.5267
02-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,93.59,0.39,5.19,18.29,29.13,72.76,1.86,100.98,10.5425,5.7005
03-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,83.98,0.29,5.16,18.03,28.97,72.36,1.7,101,10.5386,5.9141
04-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,59.65,0.27,5.23,17.45,29.09,69.6,0.94,100.99,10.5341,6.4913
05-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,51.17,0.29,5.18,18.24,29.86,69.43,1.41,100.84,10.5305,6.5995
06-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,64.5,0.29,4.99,18.76,29.88,71.28,1.48,100.77,10.5274,6.6149
07-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,40.16,0.25,5.11,19.04,29.89,72.31,1.35,100.81,10.5242,6.8448
08-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,76.29,0.22,5.2,18.8,30,70.94,0.94,100.74,10.5197,6.3984
09-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,20,0.18,5.12,19.01,30.05,71.44,1.48,100.7,10.5158,6.8873
10-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,78.31,0.16,5.21,18.74,30.22,69.81,0.85,100.71,10.5113,6.5566
11-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,83.96,0.25,5.46,19.42,30.47,71.31,1.46,100.78,10.5074,5.9357
12-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.96,0.41,5.89,19.93,30.12,74.63,2.2,100.82,10.5038,3.546
13-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,90.99,0.25,5.9,20.38,29.85,77.51,3.22,100.83,10.5,5.7259
14-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.23,0.19,5.84,20.7,29.67,79.6,4.09,100.91,10.4974,4.2394
15-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.46,0.17,5.91,20.25,29.63,78.08,3.28,100.94,10.494,3.2527
16-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.64,0.21,5.92,20.45,29.16,80.97,4.97,100.88,10.4902,3.1147
17-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.9,0.26,6.01,19.99,29.14,79.27,6.91,100.87,10.4854,4.0634
18-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,95.47,0.25,5.45,20.26,29.87,77.03,5.68,100.85,10.4806,4.3526
19-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.27,0.28,5.99,20.93,29.48,81.4,7.47,100.91,10.476,4.3723
20-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.07,0.23,6.2,20.4,29.32,80.1,10.1,100.92,10.4714,1.8763
21-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.1,0.45,5.87,20.97,29.69,80.48,11.34,100.84,10.4657,0.8779
22-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.94,0.59,6,20.66,29.13,81.9,8.47,100.85,10.4597,2.8248
23-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,91.46,0.68,5.56,20.78,29.4,81.06,9.04,100.79,10.4539,5.4211
24-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.7,0.57,5.33,19.85,29.16,78.59,7.14,100.81,10.4484,2.4418
25-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,93.92,0.62,5.28,19.43,29.36,76.02,7.14,100.81,10.4438,5.081
26-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.87,0.56,5.42,19.99,29.33,78.39,7.16,100.85,10.4393,6.0098
27-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.44,0.5,5.56,19.6,28.83,79.11,7.69,100.85,10.4345,4.7962
28-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.82,0.45,5.72,19.77,28.87,79.52,6.64,100.75,10.4297,4.2209
29-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,93.08,0.48,5.81,20.37,28.55,83.52,4.72,100.83,10.4242,1.2979
30-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,78.27,0.39,5.78,19.84,28.35,82.41,6.59,100.9,10.4186,4.8943
31-05-2015,Andaman and Nicobar Islands,11.6234,92.7265,68.01,0.23,5.67,19.87,28.77,80.43,6.67,100.81,10.4138,6.534
01-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,54.53,0.23,5.67,20.85,28.94,83.45,7.13,100.74,10.4095,6.6062
02-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,93.89,0.19,5.72,20.15,28.57,82.53,4.45,100.82,10.4059,5.868
03-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.9,0.22,5.8,19.61,28.34,81.44,2.44,100.81,10.4026,5.6141
04-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,85.06,0.17,5.71,20.04,28.43,82.72,3.73,100.77,10.3987,3.9682
05-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,28.17,0.11,5.38,19,28.42,78.55,2.02,100.79,10.3942,6.9528
06-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,83.48,0.13,4.96,19.56,28.84,78.83,2.93,100.76,10.3901,6.5942
07-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,92.21,0.18,4.69,19.52,29.14,77.36,3.67,100.77,10.385,6.4032
08-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,95.48,0.26,5.13,19.55,29.48,75.98,3.59,100.8,10.3812,6.3739
09-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.58,0.34,5.58,19.96,28.79,80.68,5.17,100.83,10.3781,5.5368
10-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,78.55,0.19,5.5,19.63,28.77,79.44,4.63,100.77,10.375,6.0175
11-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,90.58,0.16,5.63,19.37,28.37,80.31,3.64,100.78,10.3728,5.1067
12-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,74.08,0.19,5.59,20.15,28.52,82.75,5.18,100.79,10.3697,6.4022
13-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.57,0.24,5.49,20.01,28.75,81.04,5.57,100.76,10.3666,5.5822
14-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.38,0.34,5.71,19.67,28.78,79.52,5.99,100.71,10.3625,4.7328
15-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.08,0.34,5.88,19.51,28.49,80.18,7.13,100.69,10.3586,3.0355
16-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.07,0.42,5.96,19.3,28.06,81.28,9.03,100.65,10.3548,3.0271
17-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.55,0.38,6.07,19.87,28.56,81.17,10.68,100.5,10.351,4.3248
18-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,94.84,0.49,5.73,20.62,29.21,81.09,10.17,100.51,10.3464,5.3177
19-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.55,0.49,5.85,20.22,28.79,81.6,11.77,100.66,10.3423,2.3688
20-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.96,0.64,5.85,19.81,29.11,78.58,11.24,100.73,10.339,2.5733
21-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,93.44,0.64,5.41,21.26,28.96,84.99,10.41,100.75,10.3373,5.0242
22-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.39,0.52,5.18,21.28,28.93,85.24,10.26,100.78,10.3368,4.6452
23-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.22,0.56,5.52,21.43,28.74,86.84,10.43,100.78,10.3363,2.8109
24-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.62,0.44,5.56,21.24,28.74,86.11,11.48,100.83,10.3373,4.6644
25-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.11,0.33,5.62,20.91,28.66,85.11,12.53,100.78,10.3385,3.5854
26-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.03,0.4,5.81,19.67,28.23,82.13,11.93,100.78,10.3392,3.9869
27-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.73,0.53,6.03,19.06,28.19,79.88,11.6,100.86,10.3399,1.3111
28-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,96.93,0.34,5.99,20.33,28.31,84.74,9.07,101.07,10.3406,0.9518
29-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.08,0.47,5.79,19.46,28.06,82.45,8.04,101.18,10.3416,2.9827
30-06-2015,Andaman and Nicobar Islands,11.6234,92.7265,97.27,0.45,5.78,19.33,28.08,81.77,7.15,101.12,10.3428,2.6306
01-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,94.03,0.34,5.59,19.77,28.97,79.32,8.91,101,10.343,3.0598
02-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,90.41,0.31,5.63,20.51,28.9,82.47,8.68,100.99,10.3435,3.7824
03-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,57.46,0.36,5.24,20.49,29.08,81.55,10.64,100.93,10.3442,6.2791
04-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,56.31,0.45,5.29,21.32,29.07,84.74,11.11,100.76,10.3452,6.3619
05-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,99.19,0.63,5.65,21.48,28.68,87.14,11.67,100.61,10.3459,4.7167
06-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,98.5,0.67,5.4,21.55,28.63,87.59,11.4,100.51,10.3457,5.1394
07-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,89.15,0.69,5.11,21.62,28.48,88.55,11.81,100.44,10.3474,5.491
08-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,84.57,0.52,4.58,20.96,28.95,83.82,10.95,100.66,10.349,5.7367
09-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,80.13,0.5,4.59,19.88,28.94,79.66,10.63,100.72,10.3512,6.3017
10-07-2015,Andaman and Nicobar Islands,11.6234,92.7265,92.1,0.7,5.68,20.58,28.69,83.49,10.5,100.62,10.3526,4.8934
