Date,State,Latitude,Longitude,WS10M,WS50M,PS,T2M,WD10M,T2M_MAX,T2M_MIN,T2MDEW,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2015-02-10,Andaman and Nicobar Islands,11.6234,92.7265,5.15,5.68,101.28,27.34,75.7,27.72,26.93,21.94,72.33,0.37,5.5075
2015-02-11,Andaman and Nicobar Islands,11.6234,92.7265,3.85,4.18,101.23,27.46,63.6,28.33,26.48,21.21,68.89,0.42,4.4736
2015-02-12,Andaman and Nicobar Islands,11.6234,92.7265,4.0,4.33,101.17,27.54,49.8,28.09,26.82,21.62,70.11,0.05,3.1951
2015-02-13,Andaman and Nicobar Islands,11.6234,92.7265,4.77,5.18,101.14,27.51,24.5,28.31,26.7,20.67,66.44,0.04,5.9047
2015-02-14,Andaman and Nicobar Islands,11.6234,92.7265,5.9,6.49,101.13,27.19,18.9,28.43,25.95,19.48,63.02,0.0,6.269
2015-02-15,Andaman and Nicobar Islands,11.6234,92.7265,4.85,5.24,101.13,26.84,34.2,27.68,25.95,18.75,61.14,0.0,6.5918
2015-02-16,Andaman and Nicobar Islands,11.6234,92.7265,5.52,5.99,101.18,26.59,28.1,27.75,25.32,19.77,66.24,0.0,6.714
2015-02-17,Andaman and Nicobar Islands,11.6234,92.7265,4.68,5.07,101.08,27.03,18.9,28.0,25.88,20.01,65.56,0.0,6.4279
2015-02-18,Andaman and Nicobar Islands,11.6234,92.7265,4.3,4.64,101.12,27.3,30.2,28.14,26.19,20.07,64.86,0.01,5.6417
2015-02-19,Andaman and Nicobar Islands,11.6234,92.7265,3.96,4.29,101.15,27.56,54.9,28.43,26.62,21.13,68.02,0.03,4.4395
2015-02-20,Andaman and Nicobar Islands,11.6234,92.7265,5.49,6.01,101.13,27.71,47.1,28.72,26.67,22.43,72.97,0.04,6.0269
2015-02-21,Andaman and Nicobar Islands,11.6234,92.7265,5.06,5.54,101.06,27.78,43.6,28.68,26.81,22.47,72.9,0.16,6.0566
